지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 증기압(hPa),평균 현지기압(hPa),합계 일사량(MJ/m2),평균 전운량(1/10),평균 지면온도(°C)
108,서울,2018-02-12,-5.8,0,2.7,270,1.7,1011,13.74,4.1,-3.2
108,서울,2018-02-13,-.8,,2.7,200,3.2,1011,13.72,3.1,-1.5
108,서울,2018-02-14,3.5,,2.6,250,4.1,1006.3,6.92,7.4,1.7
108,서울,2018-02-15,-.7,,2.5,290,1.6,1011.5,,3.8,.9
108,서울,2018-02-16,-1.1,,2.1,270,2.3,1008.1,14.1,3.3,-.1
108,서울,2018-02-17,-3,,2.9,290,1.2,1014.1,15.8,1.9,-.8
108,서울,2018-02-18,-.4,,1.3,270,1.6,1015.5,11.22,7.4,-.1
108,서울,2018-02-19,1.8,,1.5,290,3.4,1013.3,10.08,6.1,1.1
108,서울,2018-02-20,.9,,2.5,290,2.5,1012.8,13.56,5,1.2
108,서울,2018-02-21,-.9,,2.3,290,1.7,1013.4,15.28,1.6,.2
108,서울,2018-02-22,1.3,.4,2.2,230,4,1010.6,9.45,5.8,.2
108,서울,2018-02-23,4.2,3.7,1.9,230,6.6,1010.1,9.43,7,2.4
108,서울,2018-02-24,2.4,,2.1,290,3.6,1016.8,13.09,6.1,2.8
108,서울,2018-02-25,1.9,,1.7,290,2.7,1014.6,16.17,2.4,2.7
108,서울,2018-02-26,3.1,,1.4,290,3,1013.9,16.36,1.3,2.5
108,서울,2018-02-27,4.2,,.9,90,4.1,1012.5,2.86,8.5,.4
108,서울,2018-02-28,4.6,25,2,90,6.1,1000.1,1.71,10,2
108,서울,2018-03-01,-.2,.5,3.8,290,3.9,1001.1,17.94,4.4,2.5
108,서울,2018-03-02,-.7,,1.5,290,1.9,1007.5,19.03,2.4,1.1
108,서울,2018-03-03,7.9,0,1.5,270,4,1003.7,18.04,4.1,5.3
108,서울,2018-03-04,9.8,11.5,1.2,90,10.7,1003,3.92,10,7.6
108,서울,2018-03-05,5.5,3.5,2,50,6,1007.9,13.8,5.4,6.7
108,서울,2018-03-06,4.5,,1.6,20,3.7,1018.8,17.85,2.1,4.1
108,서울,2018-03-07,6.4,.5,1.8,90,5.1,1016.7,10.76,8.6,4.4
108,서울,2018-03-08,4.6,4,1.9,320,6.4,1009.3,10.3,8.1,6.5
108,서울,2018-03-09,4.5,,1.5,290,5.3,1012.6,10.22,5.9,4.3
108,서울,2018-03-10,4.6,,2,290,5.5,1013.4,16.45,4.6,5
108,서울,2018-03-11,6.4,,2,290,4.6,1014.7,18.11,2.8,7.2
108,서울,2018-03-12,8,,1.4,290,4.9,1011.8,13.92,3.3,6.6
108,서울,2018-03-13,12.4,,1.8,230,9,1008.3,14.17,5.9,10.6
108,서울,2018-03-14,17,,2.3,230,11.1,1008.5,15.46,6,14.8
108,서울,2018-03-15,12.4,27,2.1,270,13.3,1003.3,1.47,9.8,12.2
108,서울,2018-03-16,7.1,,1.9,90,4.6,1014.1,21.16,1.4,9.6
108,서울,2018-03-17,6.6,,1.5,270,4.6,1016.6,17.87,4.4,7.9
108,서울,2018-03-18,8.2,.5,1.2,290,6,1010.7,7.19,9.8,8.8
108,서울,2018-03-19,8,1,2.5,90,6.9,1006.2,3.33,9.5,7.5
108,서울,2018-03-20,4.7,,3.4,90,3.4,1013,14.36,6.9,5.2
108,서울,2018-03-21,2.1,1,1.7,20,4.5,1007.5,6.13,9.9,3.2
108,서울,2018-03-22,4.9,,2.2,270,5,1004.4,20.45,1.5,7.3
108,서울,2018-03-23,6.1,,2,270,4.9,1009.1,19.08,4.6,7.6
108,서울,2018-03-24,7.6,,2.1,270,6.5,1011.8,15.35,6.3,9.5
108,서울,2018-03-25,9.6,,1.7,290,7.5,1014,19.12,3.4,11.2
108,서울,2018-03-26,11,,1.9,290,7.8,1011.3,19.06,3.6,12.2
108,서울,2018-03-27,13.3,,1.6,250,9.3,1007.3,15.98,2.6,12.6
108,서울,2018-03-28,14,,2.2,250,10.4,1006.6,13.94,4.3,13.1
108,서울,2018-03-29,15.4,,1.6,270,11.2,1009.6,14.86,4.9,15.1
108,서울,2018-03-30,14.8,,1.7,90,8.8,1012.7,20.01,.5,14.9
108,서울,2018-03-31,14,,1.9,270,8,1009.9,17.08,4.4,14.5
108,서울,2018-04-01,15.6,,1.5,200,12.3,1006.3,7.25,9.1,14.3
108,서울,2018-04-02,18.4,,1.9,230,13.1,1005.4,14.14,6.1,17.8
108,서울,2018-04-03,17.8,.1,2.1,230,14.7,1006.4,6.88,9.1,17.2
108,서울,2018-04-04,13.4,18.5,1.9,90,10.1,1007.4,19.56,6.1,15.9
108,서울,2018-04-05,7.6,10.5,2,90,9.4,1005.7,2.15,9.9,8.9
108,서울,2018-04-06,5.8,6.5,3.1,270,6.7,1001,11.19,8.9,8.7
108,서울,2018-04-07,4.2,.2,4.1,270,3.7,1003.4,18.24,5.1,6.2
108,서울,2018-04-08,3.9,3,1.8,90,4.7,1004.7,7.93,6.1,5.2
108,서울,2018-04-09,7.9,,1.1,20,5.4,1007.5,21.52,2.6,10
108,서울,2018-04-10,15.1,5,3.5,200,9,1000,17.52,6.3,13
108,서울,2018-04-11,12.6,,3,270,6.9,1000.8,24.86,2.6,15.1
108,서울,2018-04-12,13.3,,2.6,320,4.3,1007.7,24.56,1.3,13.6
108,서울,2018-04-13,14.6,,1.3,110,3.7,1011.8,12.68,8.9,12.1
108,서울,2018-04-14,9,9,1.8,290,8.9,999.5,3.49,8.9,9.4
108,서울,2018-04-15,9.5,,2.4,270,7.6,1002.3,17.29,3.1,11.4
108,서울,2018-04-16,11.6,,1.6,270,5.4,1009.3,24.79,1,13.3
108,서울,2018-04-17,12.9,,1.9,290,5.4,1009.5,24.03,.9,14.2
108,서울,2018-04-18,12.4,,1.9,290,4.9,1007.4,25.09,.4,16.2
108,서울,2018-04-19,14,,1.9,290,5.9,1007.8,22.36,0,17.5
108,서울,2018-04-20,18.4,,1.3,20,9.3,1009.3,22.68,.5,20.6
108,서울,2018-04-21,18.7,,1.9,270,6,1008.1,26.14,3.4,21.4
108,서울,2018-04-22,15.5,15.5,1.1,110,9.7,1007.9,5.09,9.5,14.4
108,서울,2018-04-23,9.3,59,2.2,110,10.9,1005,2.59,10,9.9
108,서울,2018-04-24,12.1,3,1.4,110,8.8,1001.6,10.14,8,12.6
108,서울,2018-04-25,14.6,,1.5,290,5.9,1003.2,24.97,.8,16.1
108,서울,2018-04-26,14.9,,2.1,290,8.3,1003.7,21.87,3.9,17.9
108,서울,2018-04-27,15.7,,1.7,290,9.1,1004.2,22.9,.1,19.3
108,서울,2018-04-28,15.4,,2,290,8,1006.2,26.04,0,20
108,서울,2018-04-29,16.2,,1.9,290,7.4,1003.4,24.5,2.4,20.5
108,서울,2018-04-30,19.2,,1.6,290,13.6,1004.4,20.74,5.5,23
108,서울,2018-05-01,20.4,0,1.5,320,17.3,1003.5,12.42,8.5,23.5
108,서울,2018-05-02,15.1,12,1.9,70,15.8,994.9,2.47,9.9,16
108,서울,2018-05-03,11.2,1,2.7,290,8.1,997.4,12.18,3.6,11.4
108,서울,2018-05-04,14.1,,2.7,270,7,1001.5,27.26,1.4,17.9
108,서울,2018-05-05,18.3,,2.6,230,9.6,1004.7,22.26,6,20.4
108,서울,2018-05-06,16.6,22,1.1,90,16.1,997.7,9.31,9.3,17.2
108,서울,2018-05-07,19.2,,1.2,290,12.5,996.5,17.7,6,18.4
108,서울,2018-05-08,17.5,,1.7,110,10,1003.9,23.25,3,21.3
108,서울,2018-05-09,15.7,,1.7,90,8.8,1010.6,26.77,.1,21.7
108,서울,2018-05-10,15.4,,2.3,270,11.5,1012.1,26.53,3.1,22.5
108,서울,2018-05-11,16.1,,1.8,290,10.5,1008.2,18.7,9.5,21
108,서울,2018-05-12,14.2,32,.9,50,14.4,999.8,1.32,10,14.6
108,서울,2018-05-13,15.8,.5,1.9,270,14.5,998.3,16.37,5.3,18.4
108,서울,2018-05-14,18.2,,1.4,270,14.5,1001.3,19.19,6.6,21.2
108,서울,2018-05-15,23.2,0,1.1,230,15.5,1000,21.18,8.5,25.3
108,서울,2018-05-16,22.3,45,1.9,200,25.1,995.1,1.6,10,21.6
108,서울,2018-05-17,20.9,83,1.4,270,24,994,3.96,10,21.2
108,서울,2018-05-18,16.3,6.5,1.3,70,16.3,996.2,5.64,8.3,18.2
108,서울,2018-05-19,17.6,,1.5,90,9.1,1005.9,29.13,0,21.2
108,서울,2018-05-20,17,,1.4,90,6.1,1009.2,14.42,4.6,16.9
108,서울,2018-05-21,17.8,,1.4,110,9.1,1007.9,24.59,3.9,21.8
108,서울,2018-05-22,18.1,12.5,1.1,290,15.5,1002,10.87,9,19
108,서울,2018-05-23,17.3,6.5,2.5,320,10.7,998.4,29.2,1.4,21.9
108,서울,2018-05-24,18.3,,2.2,230,9.6,999.5,27.02,.5,22.1
108,서울,2018-05-25,19.7,,1.8,290,10.1,998.5,25.48,3.4,23.1
108,서울,2018-05-26,21.8,,1.4,290,12.3,998.8,26.86,1,26.3
108,서울,2018-05-27,20.3,,1.7,320,11,1000.4,17.12,7.3,23.6
108,서울,2018-05-28,22.3,,1.6,270,13.2,999.9,26.49,3.8,27.9
108,서울,2018-05-29,21.4,1,1.8,290,17.5,1001.2,13.34,9.4,25.2
108,서울,2018-05-30,20.2,0,1.9,270,16.2,1000,21.67,4.6,24.8
108,서울,2018-05-31,20.9,,1.9,290,13.9,1001.4,26.94,.9,28.3
108,서울,2018-06-01,23.8,,1.9,290,14.1,1004.7,27.94,0,30.6
108,서울,2018-06-02,23.4,,2,270,12,1005.1,28.49,1.4,30.8
108,서울,2018-06-03,24,,1.6,270,10.8,1003,27.18,4,31
108,서울,2018-06-04,22.6,,1.9,290,13.6,1002.6,21.13,7.9,27.4
108,서울,2018-06-05,23.7,,1.7,290,14.7,1001.6,24.35,1.4,30.7
108,서울,2018-06-06,23,,2,270,17.4,1002.1,26.6,1,30.9
108,서울,2018-06-07,22.2,,2,270,17.9,1001.7,24.04,4.5,30
108,서울,2018-06-08,21.9,,2.1,290,17.5,998.8,18.52,5.5,31.1
108,서울,2018-06-09,23.7,.5,1.4,90,17,997.1,20.24,6.6,29.7
108,서울,2018-06-10,21.3,.5,1.4,90,14.9,994.7,12.82,9.5,23.7
108,서울,2018-06-11,20.2,5,1.4,70,15.7,990.9,11.27,8.5,24.5
108,서울,2018-06-12,21.3,0,1.7,290,16,993,23.45,4.5,26.2
108,서울,2018-06-13,22,0,1.5,50,16.7,996.2,15.75,7.4,25.3
108,서울,2018-06-14,21.6,29,1.1,90,19,997.7,10.34,9.5,22.7
108,서울,2018-06-15,21.7,16.5,1.4,90,15.2,1001,23.64,6.1,24
108,서울,2018-06-16,22.5,,1.4,290,15.1,1002.1,28.06,.8,26.8
108,서울,2018-06-17,22.8,,1.3,270,18.2,1000.3,14.78,7.8,25.3
108,서울,2018-06-18,24.8,,1.5,290,16.4,996.9,26.17,3.6,30.4
108,서울,2018-06-19,22.4,,1.8,250,16.2,994.8,17.65,8.1,26.4
108,서울,2018-06-20,22.7,,2.3,290,18.3,994,24.52,5.4,28.9
108,서울,2018-06-21,23.7,,2.2,290,17,997.1,28.21,3,32.2
108,서울,2018-06-22,25,,1.8,290,12.9,998.3,27.4,5.1,30.6
108,서울,2018-06-23,24.5,,2,270,15.3,994.8,22.19,8,30.7
108,서울,2018-06-24,25.2,,1.9,270,18.8,998.1,25.7,4,32.8
108,서울,2018-06-25,27.1,,1.2,290,19.5,1000.2,20.44,7.9,31.7
108,서울,2018-06-26,22.3,71.5,2.4,230,23.5,993.7,1.29,10,22.5
108,서울,2018-06-27,22.3,1,2,250,21.8,992.3,13.56,8.8,23.7
108,서울,2018-06-28,23.3,26.5,1.1,180,24.1,989.6,9.31,9.5,24.5
108,서울,2018-06-29,24.7,6.5,1.5,270,24,993.1,18.79,7.3,26.6
108,서울,2018-06-30,24.4,14.5,.9,50,25.5,999.6,8.76,9.1,24.7
108,서울,2018-07-01,21.9,83.5,.8,110,24.8,999.3,2.09,9.9,22.2
108,서울,2018-07-02,22.6,59.5,.7,50,26.1,997.5,4.73,9.6,23.5
108,서울,2018-07-03,27.4,.1,.8,70,26.4,990.1,22.88,6,29.1
108,서울,2018-07-04,27.3,,1.7,290,24.9,988.1,22.43,7.1,30
108,서울,2018-07-05,25.3,.5,1.2,90,23.4,993.3,10.88,8.6,27
108,서울,2018-07-06,23.9,,1.8,90,17.1,998.2,15.83,8.5,27
108,서울,2018-07-07,23.7,,1.6,90,14.9,1000.3,27.32,3.6,30.9
108,서울,2018-07-08,23.3,,1.5,90,14.6,1002.4,23.98,7,29.8
108,서울,2018-07-09,20.8,14,1.1,90,20,1004.9,4,9.9,22.4
108,서울,2018-07-10,23.7,16.5,.7,110,25.6,1004.4,5.92,9.8,23.9
108,서울,2018-07-11,26.8,3,1.3,50,28.9,1004.9,8.74,9.6,26.9
108,서울,2018-07-12,26.6,1,1.5,290,28.5,1003.4,9.92,7.5,27
108,서울,2018-07-13,27.3,,1.8,290,26.8,1002.4,15.6,6.4,28.9
108,서울,2018-07-14,27.9,0,1.9,290,25.7,1001.4,21.51,5,30.6
108,서울,2018-07-15,28.3,,1.6,290,26.2,1002.3,22.91,2.6,32.6
108,서울,2018-07-16,28.7,,1.7,290,24.4,1002.4,26.67,.4,33.4
108,서울,2018-07-17,28.1,,1.7,290,24.7,1002.2,25.57,1.3,34.3
108,서울,2018-07-18,28.2,,1.6,290,24.1,1001.9,25.14,.8,34.2
108,서울,2018-07-19,28.7,,1.6,290,24.3,1001.1,27.8,.1,35.6
108,서울,2018-07-20,29.5,,1.5,290,25,999.4,25.73,.4,35.7
108,서울,2018-07-21,30.6,,1.5,290,22.5,999,26.62,.3,36.1
108,서울,2018-07-22,31.8,,1.4,270,22.4,998.6,25.51,3.5,37.3
108,서울,2018-07-23,31.7,,1.8,290,25,999,18.94,7.9,37.1
108,서울,2018-07-24,31.4,,1.6,290,27,997.4,18.42,4.4,35.8
108,서울,2018-07-25,30.1,,2.4,230,28,997.5,14.36,6.3,36.1
108,서울,2018-07-26,30.1,,1.5,290,29.1,997.5,12.21,5.8,32.7
108,서울,2018-07-27,30.9,,1.9,290,30.3,997.2,19.29,2.3,36.2
108,서울,2018-07-28,29.5,7.5,1.2,270,31.6,996.1,9.59,5.5,30.1
108,서울,2018-07-29,31.3,,1.2,50,23.1,994.2,22.33,2.4,32.2
108,서울,2018-07-30,31.7,,1.2,70,23.4,994.3,19.68,3.1,34
108,서울,2018-07-31,32.6,,1.5,90,24.2,994.7,24.5,2.8,38.8
108,서울,2018-08-01,33.6,,1.7,270,28,993.4,25.69,.8,40.1
108,서울,2018-08-02,33.7,,1.6,290,28,995.6,18.58,4,36.8
108,서울,2018-08-03,33.1,,1.9,270,27.4,997.4,21.09,1,39.3
108,서울,2018-08-04,31.1,,2.4,270,26.9,998.2,20.45,3.4,37.8
108,서울,2018-08-05,30,2,2.6,270,29.9,997.6,20.62,6.5,34.9
108,서울,2018-08-06,30.5,6.5,1.6,290,30.9,996.8,17.86,7.6,31.4
108,서울,2018-08-07,30.5,,1.5,90,27.3,997.2,15.62,3.6,29.7
108,서울,2018-08-08,31,,2.1,290,28.2,996.8,20.59,3,35.5
108,서울,2018-08-09,28.8,2,1.5,290,30,994.5,11.11,7.3,32.5
108,서울,2018-08-10,30.7,,1.4,340,26.1,993.6,21.85,3.5,32.7
108,서울,2018-08-11,31,,1.5,110,24.5,995.3,21.37,2.9,36.3
108,서울,2018-08-12,30.6,5,1.5,160,26.3,997.4,18.23,6.5,34.7
108,서울,2018-08-13,30.5,1,1.4,50,29.3,1000.4,12.29,7.3,29.9
108,서울,2018-08-14,31.7,,1.3,290,26.5,1000,18.37,6.9,34.7
108,서울,2018-08-15,31.7,1,1.2,70,27,997.3,18.41,6.4,34
108,서울,2018-08-16,29.9,,1.7,90,21.3,999.6,24.88,3.3,35.5
108,서울,2018-08-17,27.2,,1.8,110,13.8,1002.4,26.23,0,34.6
108,서울,2018-08-18,26.7,,1.4,110,15.2,1001.1,23.27,5,34.1
108,서울,2018-08-19,28.2,,1.2,20,18.7,999.8,19.79,7.9,34.4
108,서울,2018-08-20,29.1,0,2,140,22.1,995.3,15.07,8.4,32.7
108,서울,2018-08-21,26.6,5,2.5,290,24.4,993.9,12.86,6.3,27
108,서울,2018-08-22,30.7,,1.1,110,22.8,994.7,22.27,4.5,34.6
108,서울,2018-08-23,29.4,3,1.7,70,23.9,990.2,9.3,9.5,31.5
108,서울,2018-08-24,24.4,7.5,2.5,290,26.2,987.5,5.69,9.6,24.7
108,서울,2018-08-25,25.2,,2.6,200,21.5,999.2,16.21,7,25.6
108,서울,2018-08-26,23.2,2,1.2,50,19.4,1002,13.54,6.4,24.3
108,서울,2018-08-27,22.7,19.5,.8,70,25,1001.6,7.84,8.9,24.4
108,서울,2018-08-28,23.7,96.5,.9,90,27.1,1001.5,4.42,9,24.4
108,서울,2018-08-29,25.2,42,2.4,200,27.3,999.1,2.75,10,24.8
108,서울,2018-08-30,25.3,9.5,1.8,290,25.9,999.2,8.74,9.4,25.8
108,서울,2018-08-31,25.6,.1,1.6,290,21.4,1000.3,22.17,4.5,27.2
108,서울,2018-09-01,25.5,,1.3,70,18.7,1001.5,21.01,1.5,26.5
108,서울,2018-09-02,25.1,,1.5,90,17.6,999.2,20.34,5.5,28.4
108,서울,2018-09-03,23.3,34.5,1,70,24.1,991.9,3.36,9.8,24.3
108,서울,2018-09-04,23.2,,2.2,290,19.2,988,21.64,5.1,24
108,서울,2018-09-05,24,,2.5,270,18.3,992.9,22.46,1.9,24.8
108,서울,2018-09-06,24.1,1,2,200,20.5,994.2,11.03,7.9,24.7
108,서울,2018-09-07,22,.5,2.5,290,14.2,995.7,19.58,4.9,23.3
108,서울,2018-09-08,21.7,,1.7,290,12.2,1003.5,22.75,.3,24.5
108,서울,2018-09-09,22.2,,1.2,70,12.5,1006.4,21.4,1.4,26.4
108,서울,2018-09-10,22.9,,1.6,90,13.5,1010.6,19.84,2.4,26.2
108,서울,2018-09-11,21.6,,1.5,70,12.3,1010.8,17.85,7.5,24.5
108,서울,2018-09-12,22.8,,1.4,70,14.3,1008.1,20.39,4.1,26.8
108,서울,2018-09-13,23.5,,1.2,70,18.1,1007,12.93,7.9,27.2
108,서울,2018-09-14,23.5,.5,1.3,70,19,1005.6,9.8,8.3,25.4
108,서울,2018-09-15,23.3,.2,1,70,21.6,1004.4,7.44,9.8,24
108,서울,2018-09-16,22.2,2,1.7,270,22.2,1005.4,6.44,10,23.2
108,서울,2018-09-17,22.3,.1,1.9,290,16.7,1007,20.42,5.3,25.8
108,서울,2018-09-18,22,,1.2,290,15.4,1006.6,15.85,8.3,25.5
108,서울,2018-09-19,22.1,.2,1,50,15.4,1004.1,10.66,9.5,24.4
108,서울,2018-09-20,19,5,1.8,90,18,1000.7,4.08,10,19.8
108,서울,2018-09-21,19.4,18,1.3,90,19.2,1000.3,6.31,9.3,20.8
108,서울,2018-09-22,20.8,6.5,1.8,270,14.6,1004.6,19.06,2.1,21.1
108,서울,2018-09-23,19.4,0,1.6,270,11.6,1005.8,14.77,4.4,19.9
108,서울,2018-09-24,17.6,,2.1,320,9.4,1008.7,20.96,1.1,19.3
108,서울,2018-09-25,17.8,,1.1,20,9.3,1009.5,20.19,2.1,19.8
108,서울,2018-09-26,19.4,,1.7,90,10.6,1009.8,17.06,5,21.8
108,서울,2018-09-27,18.9,,1.3,70,10.2,1008.9,18.26,.9,20
108,서울,2018-09-28,17.5,,1.2,70,11.6,1008.5,8.76,6.1,18.6
108,서울,2018-09-29,20.2,,1,70,12.6,1003.9,19.37,.4,21.9
108,서울,2018-09-30,17.6,,2.3,270,10.4,996.1,16.95,.6,21.2
108,서울,2018-10-01,15.4,0,2.9,270,9.5,997.9,15.1,4.5,19
108,서울,2018-10-02,15.9,,1.6,290,10.7,1007.1,18.84,.5,19.4
108,서울,2018-10-03,17.3,,1.3,290,10.9,1011.7,18.49,0,19.8
108,서울,2018-10-04,19.3,,1.3,70,12.2,1013.5,15.88,6.5,20.7
108,서울,2018-10-05,16.9,36.5,1.7,70,16.1,1008.1,2.74,9.8,17
108,서울,2018-10-06,18,55.5,2.2,90,17.2,997.1,6.86,7.5,18.8
108,서울,2018-10-07,16.4,,1.7,290,9.8,1006.6,15.65,2.9,16.2
108,서울,2018-10-08,14.8,,1.1,20,7.5,1009.3,15.28,4.4,14.1
108,서울,2018-10-09,15.3,0,1.1,70,8.9,1005.9,8.89,9,14.3
108,서울,2018-10-10,12,7,2.5,290,8.7,1007.1,10.3,6.8,13.1
108,서울,2018-10-11,9.7,,2.1,320,5.9,1012.5,15.42,1.4,8.9
108,서울,2018-10-12,10.9,,1.3,290,6.8,1015.6,17.67,0,12.7
108,서울,2018-10-13,12.5,,1,50,7.4,1015.2,16.78,0,13.8
108,서울,2018-10-14,13.2,,1.5,290,8.7,1012.5,16.08,3.4,14.9
108,서울,2018-10-15,15.2,,1.4,320,11.8,1009.9,11.26,4,15.7
108,서울,2018-10-16,14.5,,1.3,290,8.8,1006.5,13.15,5.6,15.4
108,서울,2018-10-17,12.4,,1.3,290,7.2,1005.8,16.44,0,14.9
108,서울,2018-10-18,12.7,,1.1,50,8.4,1010,13.37,3.1,14.8
108,서울,2018-10-19,13.1,,1.4,270,7.7,1014.9,16.23,0,14.9
108,서울,2018-10-20,13.4,,1.2,270,7.7,1015.3,15.97,1.1,15.1
108,서울,2018-10-21,13.4,,1.1,270,7.1,1013.1,15.77,2.4,14.8
108,서울,2018-10-22,14,,1,20,7.7,1009.9,12.13,5.3,15.1
108,서울,2018-10-23,12.2,5,1.1,50,10.7,1007.2,7.68,5.4,13.1
108,서울,2018-10-24,12.5,,1.3,290,9.2,1010.5,13.64,.5,12.4
108,서울,2018-10-25,13.8,,.9,50,8.2,1010.1,13.56,4,12.7
108,서울,2018-10-26,12.2,11,1.6,270,10.5,1001.6,3,7.5,12.8
108,서울,2018-10-27,8.7,,3.2,270,5.5,1004.5,11.6,1.6,8.7
108,서울,2018-10-28,8.3,5.5,1.5,70,8.5,999.8,6.66,7.3,8.8
108,서울,2018-10-29,7.2,0,2,290,5.8,1004.3,9.84,5.9,7.5
108,서울,2018-10-30,6.1,0,1.6,270,4.8,1011.2,14.55,3.3,6.9
108,서울,2018-10-31,7.4,0,1.6,290,5.5,1013.1,14.51,.8,8
108,서울,2018-11-01,8.4,,1.3,290,5.6,1015.8,13.95,0,8.1
108,서울,2018-11-02,10.6,,1.1,20,6.7,1017.3,13.52,0,9.8
108,서울,2018-11-03,11.2,,1.3,20,7.1,1015,13.59,0,10.3
108,서울,2018-11-04,11.6,,1.3,270,7.1,1012.2,13.41,2.1,11
108,서울,2018-11-05,11.9,,1.1,270,8.8,1012.9,11.09,5.3,11.4
108,서울,2018-11-06,12.2,,.9,270,9.9,1014.7,7.85,6.9,12
108,서울,2018-11-07,12.8,2,1.1,70,11.7,1014,4.05,9.9,13.2
108,서울,2018-11-08,11.8,64,1.8,90,13,1002.5,1.31,10,13.1
108,서울,2018-11-09,12.1,1,3.1,270,9.6,1006.9,9.75,7.9,12.5
108,서울,2018-11-10,11.9,0,1.4,290,9.3,1013.4,11.14,3.1,11.5
108,서울,2018-11-11,8.1,0,1.1,50,7.3,1011.9,3.72,6.4,8.1
108,서울,2018-11-12,8.1,,1.2,320,5.5,1009.6,12.12,0,7.1
108,서울,2018-11-13,8.8,,1.1,290,5.7,1009.6,11.7,.4,7.8
108,서울,2018-11-14,9.8,,1.1,320,6.5,1012.9,11.61,.1,8.4
108,서울,2018-11-15,9.7,,1,20,6.4,1014.2,9.55,4.8,8.6
108,서울,2018-11-16,8.8,,1.7,290,7.3,1011.6,8.28,6.5,8.9
